Working... ━                                          3% 0:02:00
         2807150 function calls (2787663 primitive calls) in 4.346 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 lapack.py:1(<module>)
   133/64    0.000    0.000    0.002    0.000 core.py:3880(copy)
      484    0.000    0.000    0.002    0.000 typing.py:1258(__init__)
     62/9    0.000    0.000    0.002    0.000 core.py:3788(leave_whitespace)
      278    0.000    0.000    0.002    0.000 overrides.py:83(verify_matching_signatures)
        1    0.000    0.000    0.002    0.002 _tricontour.py:1(<module>)
     8341    0.002    0.000    0.002    0.000 _parser.py:233(__next)
        1    0.000    0.000    0.002    0.002 arpack.py:1(<module>)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
      206    0.001    0.000    0.002    0.000 _compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.002    0.002 api.py:1(<module>)
     2674    0.001    0.000    0.002    0.000 cbook.py:405(_strip_comment)
     2278    0.000    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.002    0.002 _emoji_replace.py:1(<module>)
      148    0.000    0.000    0.002    0.000 artist.py:1176(_update_props)
        1    0.000    0.000    0.002    0.002 version.py:157(Version)
        1    0.001    0.001    0.002    0.002 backend_macosx.py:39(__init__)
        4    0.001    0.000    0.002    0.000 _codata.py:1503(parse_constants_2002to2014)
        1    0.000    0.000    0.002    0.002 units.py:1(<module>)
       23    0.000    0.000    0.002    0.000 typing.py:2855(_make_nmtuple)
      109    0.000    0.000    0.002    0.000 artist.py:147(<lambda>)
       53    0.000    0.000    0.002    0.000 _make.py:306(_make_method)
        1    0.000    0.000    0.002    0.002 live.py:134(stop)
      356    0.000    0.000    0.002    0.000 inspect.py:786(_finddoc)
      513    0.000    0.000    0.001    0.000 colors.py:268(to_rgba)
      109    0.000    0.000    0.001    0.000 artist.py:1223(set)
       32    0.000    0.000    0.001    0.000 colors.py:1036(from_list)
     1020    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.001    0.001 __init__.py:299(loads)
        1    0.000    0.000    0.001    0.001 decoder.py:332(decode)
        1    0.000    0.000    0.001    0.001 decoder.py:343(raw_decode)
       14    0.000    0.000    0.001    0.000 artist.py:772(set_clip_path)
      241    0.000    0.000    0.001    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
       35    0.000    0.000    0.001    0.000 rcsetup.py:107(<listcomp>)
        1    0.000    0.000    0.001    0.001 widgets.py:1(<module>)
       68    0.001    0.000    0.001    0.000 inspect.py:3232(__str__)
       24    0.001    0.000    0.001    0.000 util.py:186(_collapse_string_to_ranges)
      763    0.000    0.000    0.001    0.000 typing.py:694(<genexpr>)
        1    0.000    0.000    0.001    0.001 _dtype_like.py:1(<module>)
       14    0.000    0.000    0.001    0.000 dataclasses.py:528(_init_fn)
    32690    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
    45/12    0.000    0.000    0.001    0.000 typing.py:1380(__getitem__)
     4072    0.001    0.000    0.001    0.000 typing.py:1245(_is_dunder)
        7    0.000    0.000    0.001    0.000 core.py:2810(__init__)
        1    0.000    0.000    0.001    0.001 rrule.py:1(<module>)
        6    0.000    0.000    0.001    0.000 axis.py:237(set_clip_path)
       53    0.000    0.000    0.001    0.000 util.py:284(<lambda>)
